"","id","uid","date","attendance","time_valid","neutral_site","conference_competition","recent","start_date","notes_type","notes_headline","type_id","type_abbreviation","venue_id","venue_full_name","venue_address_city","venue_address_state","venue_capacity","venue_indoor","status_clock","status_display_clock","status_period","status_type_id","status_type_name","status_type_state","status_type_completed","status_type_description","status_type_detail","status_type_short_detail","format_regulation_periods","home_id","home_uid","home_location","home_name","home_abbreviation","home_display_name","home_short_display_name","home_color","home_alternate_color","home_is_active","home_venue_id","home_logo","home_score","home_winner","away_id","away_uid","away_location","away_name","away_abbreviation","away_display_name","away_short_display_name","away_color","away_alternate_color","away_is_active","away_venue_id","away_logo","away_score","away_winner","game_id","season","season_type","status_type_alt_detail","game_json","game_json_url","game_date_time","game_date","PBP","team_box","player_box"
"1",401455684,"s:40~l:59~e:401455684~c:401455684","2022-09-18T20:00Z",9652,TRUE,FALSE,FALSE,FALSE,"2022-09-18T20:00Z","event","WNBA Finals - Game 4",17,"FINAL",2160,"Mohegan Sun Arena","Uncasville","CT",10000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62",TRUE,2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",71,FALSE,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",78,TRUE,401455684,2022,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401455684.json",2022-09-18 16:00:00,2022-09-18,TRUE,TRUE,TRUE
"2",401455683,"s:40~l:59~e:401455683~c:401455683","2022-09-16T01:00Z",8745,TRUE,FALSE,FALSE,FALSE,"2022-09-16T01:00Z","event","WNBA Finals - Game 3",17,"FINAL",2160,"Mohegan Sun Arena","Uncasville","CT",10000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62",TRUE,2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",105,TRUE,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",76,FALSE,401455683,2022,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401455683.json",2022-09-15 21:00:00,2022-09-15,TRUE,TRUE,TRUE
"3",401455682,"s:40~l:59~e:401455682~c:401455682","2022-09-14T01:00Z",10211,TRUE,FALSE,FALSE,FALSE,"2022-09-14T01:00Z","event","WNBA Finals - Game 2",17,"FINAL",4005,"Michelob ULTRA Arena","Las Vegas","NV",12000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",85,TRUE,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62",TRUE,2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",71,FALSE,401455682,2022,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401455682.json",2022-09-13 21:00:00,2022-09-13,TRUE,TRUE,TRUE
"4",401455681,"s:40~l:59~e:401455681~c:401455681","2022-09-11T19:00Z",10135,TRUE,FALSE,FALSE,FALSE,"2022-09-11T19:00Z","event","WNBA Finals - Game 1",17,"FINAL",4005,"Michelob ULTRA Arena","Las Vegas","NV",12000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",67,TRUE,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62",TRUE,2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",64,FALSE,401455681,2022,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401455681.json",2022-09-11 15:00:00,2022-09-11,TRUE,TRUE,TRUE
"5",401455679,"s:40~l:59~e:401455679~c:401455679","2022-09-09T00:00Z",8014,TRUE,FALSE,FALSE,FALSE,"2022-09-09T00:00Z","event","WNBA Semifinals - Game 5",16,"SEMI",5427,"Wintrust Arena","Chicago","IL",10387,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,19,"s:40~l:59~t:19","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3",TRUE,977,"https://a.espncdn.com/i/teamlogos/wnba/500/chi.png",63,FALSE,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62",TRUE,2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",72,TRUE,401455679,2022,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401455679.json",2022-09-08 20:00:00,2022-09-08,TRUE,TRUE,TRUE
"6",401455678,"s:40~l:59~e:401455678~c:401455678","2022-09-07T02:15Z",11328,TRUE,FALSE,FALSE,FALSE,"2022-09-07T02:15Z","event","WNBA Semifinals - Game 4",16,"SEMI",7224,"Climate Pledge Arena","Seattle","WA",18100,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c",TRUE,2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",92,FALSE,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",97,TRUE,401455678,2022,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401455678.json",2022-09-06 22:15:00,2022-09-06,TRUE,TRUE,TRUE
"7",401455677,"s:40~l:59~e:401455677~c:401455677","2022-09-07T00:00Z",5868,TRUE,FALSE,FALSE,FALSE,"2022-09-07T00:00Z","event","WNBA Semifinals - Game 4",16,"SEMI",2160,"Mohegan Sun Arena","Uncasville","CT",10000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62",TRUE,2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",104,TRUE,19,"s:40~l:59~t:19","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3",TRUE,977,"https://a.espncdn.com/i/teamlogos/wnba/500/chi.png",80,FALSE,401455677,2022,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401455677.json",2022-09-06 20:00:00,2022-09-06,TRUE,TRUE,TRUE
"8",401455676,"s:40~l:59~e:401455676~c:401455676","2022-09-04T19:00Z",15431,TRUE,FALSE,FALSE,FALSE,"2022-09-04T19:00Z","event","WNBA Semifinals - Game 3",16,"SEMI",7224,"Climate Pledge Arena","Seattle","WA",18100,TRUE,0,"0.0",5,3,"STATUS_FINAL","post",TRUE,"Final","Final/OT","Final/OT",4,14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c",TRUE,2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",98,FALSE,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",110,TRUE,401455676,2022,3,"OT",TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401455676.json",2022-09-04 15:00:00,2022-09-04,TRUE,TRUE,TRUE
"9",401455675,"s:40~l:59~e:401455675~c:401455675","2022-09-04T17:00Z",9142,TRUE,FALSE,FALSE,FALSE,"2022-09-04T17:00Z","event","WNBA Semifinals - Game 3",16,"SEMI",2160,"Mohegan Sun Arena","Uncasville","CT",10000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62",TRUE,2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",72,FALSE,19,"s:40~l:59~t:19","Chicago","Sky","CHI","Chicago Sky","Sky","4f91cd","f1f2f3",TRUE,977,"https://a.espncdn.com/i/teamlogos/wnba/500/chi.png",76,TRUE,401455675,2022,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401455675.json",2022-09-04 13:00:00,2022-09-04,TRUE,TRUE,TRUE
"10",401455674,"s:40~l:59~e:401455674~c:401455674","2022-09-01T02:00Z",9755,TRUE,FALSE,FALSE,FALSE,"2022-09-01T02:00Z","event","WNBA Semifinals - Game 2",16,"SEMI",4005,"Michelob ULTRA Arena","Las Vegas","NV",12000,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",78,TRUE,14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c",TRUE,2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",73,FALSE,401455674,2022,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401455674.json",2022-08-31 22:00:00,2022-08-31,TRUE,TRUE,TRUE
