"","id","uid","date","attendance","time_valid","neutral_site","conference_competition","recent","start_date","notes_type","notes_headline","type_id","type_abbreviation","venue_id","venue_full_name","venue_address_city","venue_address_state","venue_capacity","venue_indoor","status_clock","status_display_clock","status_period","status_type_id","status_type_name","status_type_state","status_type_completed","status_type_description","status_type_detail","status_type_short_detail","format_regulation_periods","home_id","home_uid","home_location","home_name","home_abbreviation","home_display_name","home_short_display_name","home_color","home_alternate_color","home_is_active","home_venue_id","home_logo","home_score","home_winner","away_id","away_uid","away_location","away_name","away_abbreviation","away_display_name","away_short_display_name","away_color","away_alternate_color","away_is_active","away_venue_id","away_logo","away_score","away_winner","game_id","season","season_type","status_type_alt_detail","game_json","game_json_url","game_date_time","game_date","PBP","team_box","player_box"
"1",401244185,"s:40~l:59~e:401244185~c:401244185","2020-10-06T23:00Z",0,TRUE,FALSE,FALSE,FALSE,"2020-10-06T23:00Z","event","WNBA Finals - Game 3",17,"FINAL",7097,"IMG Academy","Bradenton","FL",0,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c",TRUE,2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",92,TRUE,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",59,FALSE,401244185,2020,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401244185.json",2020-10-06 19:00:00,2020-10-06,TRUE,TRUE,TRUE
"2",401244184,"s:40~l:59~e:401244184~c:401244184","2020-10-04T19:00Z",0,TRUE,FALSE,FALSE,FALSE,"2020-10-04T19:00Z","event","WNBA Finals - Game 2",17,"FINAL",7097,"IMG Academy","Bradenton","FL",0,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",91,FALSE,14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c",TRUE,2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",104,TRUE,401244184,2020,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401244184.json",2020-10-04 15:00:00,2020-10-04,TRUE,TRUE,TRUE
"3",401244183,"s:40~l:59~e:401244183~c:401244183","2020-10-02T23:00Z",0,TRUE,FALSE,FALSE,FALSE,"2020-10-02T23:00Z","event","WNBA Finals - Game 1",17,"FINAL",7097,"IMG Academy","Bradenton","FL",0,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",80,FALSE,14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c",TRUE,2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",93,TRUE,401244183,2020,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401244183.json",2020-10-02 19:00:00,2020-10-02,TRUE,TRUE,TRUE
"4",401248413,"s:40~l:59~e:401248413~c:401248413","2020-09-29T23:30Z",0,TRUE,FALSE,FALSE,FALSE,"2020-09-29T23:30Z","event","WNBA Semifinals - Game 5",16,"SEMI",7097,"IMG Academy","Bradenton","FL",0,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",66,TRUE,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62",TRUE,2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",63,FALSE,401248413,2020,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401248413.json",2020-09-29 19:30:00,2020-09-29,TRUE,TRUE,TRUE
"5",401244180,"s:40~l:59~e:401244180~c:401244180","2020-09-27T19:00Z",0,TRUE,FALSE,FALSE,FALSE,"2020-09-27T19:00Z","event","WNBA Semifinals - Game 3",16,"SEMI",7097,"IMG Academy","Bradenton","FL",0,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,8,"s:40~l:59~t:8","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757",TRUE,2029,"https://a.espncdn.com/i/teamlogos/wnba/500/min.png",71,FALSE,14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c",TRUE,2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",92,TRUE,401244180,2020,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401244180.json",2020-09-27 15:00:00,2020-09-27,TRUE,TRUE,TRUE
"6",401244179,"s:40~l:59~e:401244179~c:401244179","2020-09-27T17:00Z",0,TRUE,FALSE,FALSE,FALSE,"2020-09-27T17:00Z","event","WNBA Semifinals - Game 4",16,"SEMI",7097,"IMG Academy","Bradenton","FL",0,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62",TRUE,2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",75,FALSE,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",84,TRUE,401244179,2020,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401244179.json",2020-09-27 13:00:00,2020-09-27,TRUE,TRUE,TRUE
"7",401244177,"s:40~l:59~e:401244177~c:401244177","2020-09-25T01:30Z",0,TRUE,FALSE,FALSE,FALSE,"2020-09-25T01:30Z","event","WNBA Semifinals - Game 3",16,"SEMI",7097,"IMG Academy","Bradenton","FL",0,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62",TRUE,2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",77,TRUE,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",68,FALSE,401244177,2020,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401244177.json",2020-09-24 21:30:00,2020-09-24,TRUE,TRUE,TRUE
"8",401244178,"s:40~l:59~e:401244178~c:401244178","2020-09-24T23:30Z",0,TRUE,FALSE,FALSE,FALSE,"2020-09-24T23:30Z","event","WNBA Semifinals - Game 2",16,"SEMI",7097,"IMG Academy","Bradenton","FL",0,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c",TRUE,2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",89,TRUE,8,"s:40~l:59~t:8","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757",TRUE,2029,"https://a.espncdn.com/i/teamlogos/wnba/500/min.png",79,FALSE,401244178,2020,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401244178.json",2020-09-24 19:30:00,2020-09-24,TRUE,TRUE,TRUE
"9",401244175,"s:40~l:59~e:401244175~c:401244175","2020-09-23T01:20Z",0,TRUE,FALSE,FALSE,FALSE,"2020-09-23T01:20Z","event","WNBA Semifinals - Game 1",16,"SEMI",7097,"IMG Academy","Bradenton","FL",0,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,14,"s:40~l:59~t:14","Seattle","Storm","SEA","Seattle Storm","Storm","05452a","f7c43c",TRUE,2184,"https://a.espncdn.com/i/teamlogos/wnba/500/scoreboard/sea.png",88,TRUE,8,"s:40~l:59~t:8","Minnesota","Lynx","MIN","Minnesota Lynx","Lynx","005084","47a757",TRUE,2029,"https://a.espncdn.com/i/teamlogos/wnba/500/min.png",86,FALSE,401244175,2020,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401244175.json",2020-09-22 21:20:00,2020-09-22,TRUE,TRUE,TRUE
"10",401244176,"s:40~l:59~e:401244176~c:401244176","2020-09-22T23:00Z",0,TRUE,FALSE,FALSE,FALSE,"2020-09-22T23:00Z","event","WNBA Semifinals - Game 2",16,"SEMI",7097,"IMG Academy","Bradenton","FL",0,TRUE,0,"0.0",4,3,"STATUS_FINAL","post",TRUE,"Final","Final","Final",4,17,"s:40~l:59~t:17","Las Vegas","Aces","LV","Las Vegas Aces","Aces","000000","c7cfd4",TRUE,780,"https://a.espncdn.com/i/teamlogos/wnba/500/lv.png",83,TRUE,18,"s:40~l:59~t:18","Connecticut","Sun","CONN","Connecticut Sun","Sun","de6b36","002d62",TRUE,2160,"https://a.espncdn.com/i/teamlogos/wnba/500/conn.png",75,FALSE,401244176,2020,3,NA,TRUE,"https://raw.githubusercontent.com/sportsdataverse/wehoop-wnba-raw/main/wnba/json/final/401244176.json",2020-09-22 19:00:00,2020-09-22,TRUE,TRUE,TRUE
